Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,Hepatitis_B,Measles,BMI,Diphtheria,HIV/AIDS(),GDP,Schooling
65,263,62,1,65,1154,19,65,10,584,10
60,271,64,1,62,492,19,62,10,613,10
60,268,66,1,64,430,18,64,10,632,10
60,272,69,1,67,2787,18,67,10,670,10
59,275,71,1,68,3013,17,68,10,64,10
59,279,74,1,66,1989,17,66,10,553,9
59,281,77,1,63,2861,16,63,10,446,9
58,287,80,3,64,1599,16,64,10,373,9
58,295,82,2,63,1141,15,63,10,370,8
57,295,84,3,64,1990,15,58,10,273,8
57,291,85,2,66,1296,14,58,10,25,8
57,293,87,2,67,466,14,5,10,219,7
57,295,87,1,65,798,13,41,10,199,7
56,3,88,1,64,2486,13,36,10,188,6
55,316,88,1,63,8762,13,33,10,117,6
55,321,88,1,62,6532,12,24,10,115,6
78,74,0,460,99,0,58,99,10,3954,14
78,8,0,451,98,0,57,98,10,4576,14
77,84,0,476,99,0,57,99,10,4415,14
77,86,0,514,99,9,56,99,10,4248,14
77,88,0,537,99,28,55,99,10,4437,13
76,91,1,528,99,10,54,99,10,494,13
76,91,1,579,98,0,54,98,10,4114,12
75,1,1,561,99,0,53,99,10,438,12
76,9,1,558,98,22,52,98,10,363,12
74,99,1,531,98,68,6,97,10,35,11
74,15,1,516,98,6,50,98,10,279,11
73,17,1,454,99,7,49,97,10,2417,11
73,18,1,429,97,8,48,97,10,190,11
73,15,1,373,96,16,47,98,10,1454,11
74,14,1,425,96,18,46,97,10,1327,11
73,11,1,366,96,662,45,97,10,1176,11
76,19,21,,95,63,60,95,10,4133,14
75,11,21,1,95,0,58,95,10,548,14
75,112,21,53,95,25,57,95,10,5472,14
75,113,21,66,95,18,56,95,10,5565,14
75,116,21,56,95,112,55,95,10,5432,14
75,119,21,45,95,103,54,95,10,4463,14
74,123,20,50,94,107,53,95,10,3869,13
74,126,20,46,91,217,52,93,10,495,13
74,129,20,44,9,0,6,95,10,3935,12
73,132,20,36,8,944,50,95,10,3465,12
73,136,19,50,83,2302,49,88,10,31,12
72,14,19,45,81,3289,48,86,10,2599,12
72,146,20,34,,15374,47,87,10,294,12
72,145,20,36,,5862,46,86,10,1774,11
71,145,20,23,,2686,45,89,10,1733,11
71,145,21,25,,0,44,86,10,1757,11
52,335,66,,64,118,23,64,190,3696,11
52,348,67,833,64,11699,23,64,200,479,11
51,355,69,810,77,8523,22,77,230,485,11
56,358,72,824,75,4458,22,75,260,4598,10
51,361,75,806,72,1449,21,71,250,4299,9
50,365,78,780,77,1190,2,77,250,3530,9
49,369,81,701,61,2807,20,6,250,3348,9
49,371,84,707,69,265,19,69,260,3869,8
48,375,87,635,73,1014,19,73,260,2879,8
48,381,90,584,,765,18,34,250,262,7
47,382,92,504,,258,18,38,260,1444,7
47,386,94,353,,29,17,4,250,142,6
47,388,95,349,,1196,17,4,240,779,6
47,391,96,282,,11945,16,41,230,711,6
46,44,97,258,,9046,16,38,210,526,5
45,48,97,185,,2219,15,28,200,555,5
76,13,0,,99,0,48,99,20,13567,14
76,131,0,856,99,0,47,99,20,12888,14
76,133,0,858,99,0,46,99,20,12225,14
76,134,0,818,98,0,46,98,20,12565,14
76,136,0,784,99,0,45,99,10,11929,14
76,138,0,784,98,0,44,98,10,12127,14
75,14,0,782,98,0,44,99,10,1312,14
75,142,0,827,98,0,43,99,10,1473,14
75,144,0,864,97,0,43,99,10,14252,15
75,145,0,893,99,0,42,99,10,12724,15
75,147,0,815,99,0,41,99,10,11372,0
74,149,0,728,97,0,5,97,10,1353,0
74,151,0,716,99,0,4,99,10,9740,0
74,153,0,721,99,0,40,98,10,9387,0
74,154,0,751,96,0,39,97,10,9358,0
74,156,0,727,,0,38,95,10,9875,0
76,116,8,,94,0,63,94,10,13467,17
76,118,8,793,94,1,62,94,10,12245,17
76,119,8,828,94,0,62,94,10,12977,17
76,12,9,835,91,2,61,91,10,12970,17
76,12,9,811,91,3,6,91,10,12727,17
76,121,10,815,94,17,60,94,10,1276,17
76,126,10,833,94,3,59,94,10,8161,17
75,126,10,841,9,0,59,93,10,8953,16
75,129,10,816,85,0,58,91,10,7194,16
75,127,11,775,84,0,58,91,10,5879,16
75,127,11,753,88,0,57,98,10,577,16
75,13,11,763,81,0,56,98,10,4252,16
74,137,11,762,73,0,56,96,10,333,16
74,138,12,781,66,0,55,93,10,2579,16
74,138,12,776,,0,55,83,10,718,16
74,137,12,768,,6,54,83,10,7669,15
75,118,1,,94,33,55,94,10,370,13
75,12,1,391,93,13,54,93,10,3995,13
74,123,1,379,95,10,53,95,10,3844,13
74,121,1,389,95,0,53,95,10,3685,13
74,128,1,409,95,0,52,95,10,3527,13
74,132,1,423,94,2,51,94,10,3218,12
73,137,1,396,93,0,6,93,10,2994,12
73,14,1,396,89,0,5,89,10,41,12
74,132,1,399,85,1,50,88,10,3139,12
73,141,1,401,78,137,49,87,10,2158,11
73,137,1,425,91,2281,49,9,10,1644,11
73,132,1,381,91,1783,48,91,10,1192,11
73,134,1,303,93,4,48,94,10,93,11
73,134,1,286,91,40,48,94,10,783,11
73,141,1,286,69,69,47,94,10,694,11
72,142,1,290,55,15,47,93,10,623,11
83,59,1,,93,74,67,93,10,56554,20
83,6,1,971,91,340,66,92,10,62215,20
83,61,1,987,91,158,66,91,10,67792,20
82,61,1,1003,91,199,65,92,10,67678,20
82,63,1,1030,92,190,64,92,10,62245,20
82,64,1,1052,92,70,64,92,10,51875,20
82,66,1,1062,94,104,63,92,10,42743,19
81,66,1,1076,94,65,63,92,10,49665,19
81,66,1,1056,94,11,63,92,10,4992,19
81,66,1,1031,95,0,62,92,10,36118,20
81,67,1,1030,95,10,62,92,10,3417,20
86,69,1,984,95,70,7,92,10,3472,21
83,71,1,997,95,91,6,93,10,23465,21
80,73,1,984,95,32,60,92,10,282,20
80,75,1,953,94,141,59,92,10,19518,21
80,78,1,1017,,108,58,9,10,2170,20
82,65,0,,93,309,58,93,10,43666,16
81,66,0,1232,98,117,57,98,10,51323,16
81,68,0,1182,95,0,57,95,10,555,16
88,7,0,1226,92,36,56,92,10,48334,16
88,73,0,1204,89,68,56,89,10,51127,16
84,75,0,1210,86,52,55,86,10,46658,15
82,77,0,1130,83,49,55,83,10,47654,15
84,76,0,1200,83,448,54,83,10,51386,15
81,8,0,1250,85,20,54,85,10,46587,15
80,81,0,1240,83,23,53,83,10,444,15
79,85,0,1240,86,9,53,86,10,38242,15
79,86,0,1210,83,15,52,83,10,36693,15
79,88,0,1220,83,90,52,84,10,3213,15
79,9,0,1250,81,0,51,83,10,26351,16
79,92,0,1240,44,0,6,84,10,24490,16
78,96,0,1320,33,0,5,81,10,24517,15
73,118,5,,96,0,53,96,10,55,13
73,119,5,1,94,0,52,94,10,7891,12
72,121,5,214,93,164,6,93,10,7876,12
72,123,5,1,88,0,50,89,10,7496,12
72,125,5,198,84,0,49,87,10,7190,12
71,13,5,198,8,0,48,81,10,5843,12
78,132,6,210,74,0,47,81,10,495,12
73,141,6,118,68,5,47,81,10,5575,12
73,14,6,102,62,0,46,79,10,3851,12
69,154,6,85,52,222,45,78,10,2474,11
68,162,6,73,49,1238,45,75,10,1578,11
68,154,6,62,5,827,44,77,10,145,11
68,154,7,55,51,1978,44,77,10,884,11
68,146,7,55,5,4353,43,76,10,764,11
68,151,8,51,,574,43,77,10,74,10
67,16,9,65,,210,42,76,10,656,10
76,147,0,,95,0,65,95,10,,13
